6.133 158.041
5.487 331.297
5.951 235.979
5.548 86.382
3.684 390.128
3.841 55.117
2.484 50.04
4.154 222.241
5.259 106.375
2.631 77.136
6.241 247.048
5.097 142.001
5.182 97.469
3.753 661.195
3.478 25.721
3.595 138.061
5.076 256.615
6.328 193.656
2.176 109.868
6.538 324.813
3.581 237.945
4.59 162.262
2.608 68.261
3.623 142.396
1.975 72.5
6.674 321.281
4.529 796.427
3.545 209.463
3.567 55.601
6.03 100.481
5.659 66.123
3.772 294.849
4.921 42.057
4.449 75.039
4.628 181.881
5.661 368.19
6.429 233.425
4.785 157.711
3.929 59.027
5.621 100.291
4.509 118.083
1.358 26.07
3.186 123.98
7.112 155.581
3.591 87.571
2.789 75.756
5.292 320.951
3.835 175.965
3.617 16.151
5.7 143.191
3.027 111.558
1.892 11.015
4.399 141.925
1.943 56.86
3.701 126.83
2.264 210.822
3.431 64.273
1.919 122.749
5.825 83.09
5.246 57.891
2.863 144.042
2.136 129.862
4.703 152.333
4.53 88.181
3.308 253.903
5.449 151.636
4.223 328.1
3.681 48.662
4.955 58.113
5.034 162.933
2.897 96.893
4.74 432.803
3.215 74.712
7.484 177.705
3.443 67.847
3.852 78.616
6.551 133.222
4.993 143.187
3.288 198.612
5.037 86.344
3.537 126.577
2.536 38.2
4.788 194.687
2.86 119.335
5.192 54.013
4.024 131.651
4.882 311.878
3.947 868.958
4.996 39.973
5.666 224.042
5.613 112.733
6.406 260.153
4.95 188.592
5.733 57.063
1.747 47.943
3.552 139.598
7.394 308.347
4.504 341.646
6.931 133.698
4.962 19.946
4.827 214.614
4.178 -114.685
4.184 -223.471
5.03 -187.778
5.277 -255.962
4.863 -175.351
6.664 319.462
4.761 -63.378
3.009 -229.73
4.721 -184.896
4.96 123.866
6.063 -114.024
4.937 -156.047
3.234 -193.171
5.914 -190.926
2.869 -246.209
4.549 -210.255
5.143 379.322
6.249 -75.058
5.017 -249.35
5.461 -125.437
6.345 -11.64
4.512 -113.56
5.029 -248.419
3.496 -186.195
3.957 -217.931
5.296 -75.49
4.348 -216.976
3.677 -205.724
4.778 -59.426
5.126 -191.945
2.308 -203.127
3.862 -236.357
4.436 -207.621
4.258 -231.932
5.029 -189.827
4.795 -228.711
4.083 -156.432
4.423 -77.814
5.539 -196.572
4.093 -122.28
9.884 547.11
6.184 -238.838
3.4 -156.927
6.338 -65.635
3.72 -88.135
8.356 -31.591
6.406 -74.269
4.932 -201.092
5.228 105.134
4.06 -214.389
2.907 -236.943
3.724 -126.691
4.509 -138.675
7.469 1.954
2.229 -147.618
5.545 -196.16
4.328 -253.01
4.569 -232.568
5.351 -107.423
3.07 -122.953
4.569 -156.979
4.215 -223.297
3.519 -24.357
2.836 -195.901
3.913 -86.272
4.512 -119.789
3.8 -50.229
5.046 -85.126
4.929 -114.026
3.031 -212.197
6.841 -111.28
5.25 -204.97
4.507 -187.719
3.943 -208.036
3.498 79.241
4.905 -255.076
6.058 -129.411
3.907 -125.222
4.418 -225.597
1.797 -251.047
4.936 -61.281
6.124 69.706
5.357 -252.507
5.028 9.36
4.469 -208.039
4.47 -235.368
3.552 -187.67
4.785 -50.551
2.152 -243.162
4.87 -181.005
4.794 62.495
2.934 -190.389
3.979 -114.588
3.916 -184.234
5.62 557.459
4.42 -225.781
3.182 -40.335
2.375 -196.088
5.416 -169.686
4.585 -13.35
3.751 -2.602
6.473 37.274
5.228 46.56
