6.133 158.041 7RMG_CASA1_Bt_166_171_r1 0001
5.487 331.297 7RMG_CASA1_Bt_166_171_r1 0002
5.951 235.979 7RMG_CASA1_Bt_166_171_r1 0003
5.548 86.382 7RMG_CASA1_Bt_166_171_r1 0004
3.684 390.128 7RMG_CASA1_Bt_166_171_r1 0005
3.841 55.117 7RMG_CASA1_Bt_166_171_r1 0006
2.484 50.04 7RMG_CASA1_Bt_166_171_r1 0007
4.154 222.241 7RMG_CASA1_Bt_166_171_r1 0008
5.259 106.375 7RMG_CASA1_Bt_166_171_r1 0009
2.631 77.136 7RMG_CASA1_Bt_166_171_r1 0010
6.241 247.048 7RMG_CASA1_Bt_166_171_r1 0011
5.097 142.001 7RMG_CASA1_Bt_166_171_r1 0012
5.182 97.469 7RMG_CASA1_Bt_166_171_r1 0013
3.753 661.195 7RMG_CASA1_Bt_166_171_r1 0014
3.478 25.721 7RMG_CASA1_Bt_166_171_r1 0015
3.595 138.061 7RMG_CASA1_Bt_166_171_r1 0016
5.076 256.615 7RMG_CASA1_Bt_166_171_r1 0017
6.328 193.656 7RMG_CASA1_Bt_166_171_r1 0018
2.176 109.868 7RMG_CASA1_Bt_166_171_r1 0019
6.538 324.813 7RMG_CASA1_Bt_166_171_r1 0020
3.581 237.945 7RMG_CASA1_Bt_166_171_r1 0021
4.59 162.262 7RMG_CASA1_Bt_166_171_r1 0022
2.608 68.261 7RMG_CASA1_Bt_166_171_r1 0023
3.623 142.396 7RMG_CASA1_Bt_166_171_r1 0024
1.975 72.5 7RMG_CASA1_Bt_166_171_r1 0025
6.674 321.281 7RMG_CASA1_Bt_166_171_r1 0026
4.529 796.427 7RMG_CASA1_Bt_166_171_r1 0027
3.545 209.463 7RMG_CASA1_Bt_166_171_r1 0028
3.567 55.601 7RMG_CASA1_Bt_166_171_r1 0029
6.03 100.481 7RMG_CASA1_Bt_166_171_r1 0030
5.659 66.123 7RMG_CASA1_Bt_166_171_r1 0031
3.772 294.849 7RMG_CASA1_Bt_166_171_r1 0032
4.921 42.057 7RMG_CASA1_Bt_166_171_r1 0033
4.449 75.039 7RMG_CASA1_Bt_166_171_r1 0034
4.628 181.881 7RMG_CASA1_Bt_166_171_r1 0035
5.661 368.19 7RMG_CASA1_Bt_166_171_r1 0036
6.429 233.425 7RMG_CASA1_Bt_166_171_r1 0037
4.785 157.711 7RMG_CASA1_Bt_166_171_r1 0038
3.929 59.027 7RMG_CASA1_Bt_166_171_r1 0039
5.621 100.291 7RMG_CASA1_Bt_166_171_r1 0040
4.509 118.083 7RMG_CASA1_Bt_166_171_r1 0041
1.358 26.07 7RMG_CASA1_Bt_166_171_r1 0042
3.186 123.98 7RMG_CASA1_Bt_166_171_r1 0043
7.112 155.581 7RMG_CASA1_Bt_166_171_r1 0044
3.591 87.571 7RMG_CASA1_Bt_166_171_r1 0045
2.789 75.756 7RMG_CASA1_Bt_166_171_r1 0046
5.292 320.951 7RMG_CASA1_Bt_166_171_r1 0047
3.835 175.965 7RMG_CASA1_Bt_166_171_r1 0048
3.617 16.151 7RMG_CASA1_Bt_166_171_r1 0049
5.7 143.191 7RMG_CASA1_Bt_166_171_r1 0050
3.027 111.558 7RMG_CASA1_Bt_166_171_r1 0051
1.892 11.015 7RMG_CASA1_Bt_166_171_r1 0052
4.399 141.925 7RMG_CASA1_Bt_166_171_r1 0053
1.943 56.86 7RMG_CASA1_Bt_166_171_r1 0054
3.701 126.83 7RMG_CASA1_Bt_166_171_r1 0055
2.264 210.822 7RMG_CASA1_Bt_166_171_r1 0056
3.431 64.273 7RMG_CASA1_Bt_166_171_r1 0057
1.919 122.749 7RMG_CASA1_Bt_166_171_r1 0058
5.825 83.09 7RMG_CASA1_Bt_166_171_r1 0059
5.246 57.891 7RMG_CASA1_Bt_166_171_r1 0060
2.863 144.042 7RMG_CASA1_Bt_166_171_r1 0061
2.136 129.862 7RMG_CASA1_Bt_166_171_r1 0062
4.703 152.333 7RMG_CASA1_Bt_166_171_r1 0063
4.53 88.181 7RMG_CASA1_Bt_166_171_r1 0064
3.308 253.903 7RMG_CASA1_Bt_166_171_r1 0065
5.449 151.636 7RMG_CASA1_Bt_166_171_r1 0066
4.223 328.1 7RMG_CASA1_Bt_166_171_r1 0067
3.681 48.662 7RMG_CASA1_Bt_166_171_r1 0068
4.955 58.113 7RMG_CASA1_Bt_166_171_r1 0069
5.034 162.933 7RMG_CASA1_Bt_166_171_r1 0070
2.897 96.893 7RMG_CASA1_Bt_166_171_r1 0071
4.74 432.803 7RMG_CASA1_Bt_166_171_r1 0072
3.215 74.712 7RMG_CASA1_Bt_166_171_r1 0073
7.484 177.705 7RMG_CASA1_Bt_166_171_r1 0074
3.443 67.847 7RMG_CASA1_Bt_166_171_r1 0075
3.852 78.616 7RMG_CASA1_Bt_166_171_r1 0076
6.551 133.222 7RMG_CASA1_Bt_166_171_r1 0077
4.993 143.187 7RMG_CASA1_Bt_166_171_r1 0078
3.288 198.612 7RMG_CASA1_Bt_166_171_r1 0079
5.037 86.344 7RMG_CASA1_Bt_166_171_r1 0080
3.537 126.577 7RMG_CASA1_Bt_166_171_r1 0081
2.536 38.2 7RMG_CASA1_Bt_166_171_r1 0082
4.788 194.687 7RMG_CASA1_Bt_166_171_r1 0083
2.86 119.335 7RMG_CASA1_Bt_166_171_r1 0084
5.192 54.013 7RMG_CASA1_Bt_166_171_r1 0085
4.024 131.651 7RMG_CASA1_Bt_166_171_r1 0086
4.882 311.878 7RMG_CASA1_Bt_166_171_r1 0087
3.947 868.958 7RMG_CASA1_Bt_166_171_r1 0088
4.996 39.973 7RMG_CASA1_Bt_166_171_r1 0089
5.666 224.042 7RMG_CASA1_Bt_166_171_r1 0090
5.613 112.733 7RMG_CASA1_Bt_166_171_r1 0091
6.406 260.153 7RMG_CASA1_Bt_166_171_r1 0092
4.95 188.592 7RMG_CASA1_Bt_166_171_r1 0093
5.733 57.063 7RMG_CASA1_Bt_166_171_r1 0094
1.747 47.943 7RMG_CASA1_Bt_166_171_r1 0095
3.552 139.598 7RMG_CASA1_Bt_166_171_r1 0096
